,Host,TOWN,NAME,COUNTRY,Address1,Postcode,PNO,NSF,Branch IDs,Latitude,Longitude
177,TS2881,DUDLEY (MERRY HILL),DUDLEY MERRY HILL,ENG,"Unit L81, The Merry Hill Centre",DY5 1SN,1024,9000,"TM8572,TS2881",52.4820583450168,-2.11120199888267
178,TS2884,WATFORD,WATFORD,ENG,Unit 123,WD17 2TH,1243,2775,"TM8577,TS2884",51.6547170124404,-0.393358439198212
179,TS2892,Z HOLLAND AMSTERDAM R,KALVERSTRAAT,NL,Unit 48/52,1012PE,3500,10203,"TM8580,TS2892",52.37147884,4.89189362
180,TS2895,Z USA ATLANTA,ATLANTA,US,Unit 2012a,30326,2990,11000,"TM8582,TS2895",33.8485550763292,-84.3610714176932
181,TS2896,Z USA SAN DIEGO,SAN DIEGO,US,Unit 211b,92108,2992,12278,"TM8583,TS2896",32.7729660570986,-117.133593744501
182,TS2897,Z USA HOUSTON,HOUSTON,US,Unit B3872/b2881 The Galleria Shopping Mall,77056,2991,10500,"TM8584,TS2897",29.7452486,-95.4676026
183,TS2898,Z USA SPRINGFIELD,WASHINGTON DC (SPRINGFIELD),US,Unit 6500,22150,2994,4900,"TM8585,TS2898",38.7739458,-77.1846539
184,TS2954,HEMEL HEMPSTEAD,HEMEL HEMPSTEAD,ENG,Unit 6/7/8,HP1 1BT,1033,3123,"TM8616,TS2954",51.7478196768204,-0.473168834223249
185,TS2980,Z USA GLENDALE,GLENDALE,US,Unit D6,CA 91210,2989,6000,"TM8649,TS2980",34.1530283,-118.3526282
186,TS2986,Z USA MIAMI,MIAMI,US,Aventura Mall,33180,2988,12720,"TM8653,TS2986",25.97222425,-80.1424129461405
187,TS3044,BOLTON,BOLTON,ENG,Unit 19,BL1 2AL,1066,4000,"TM8668,TS3044",53.5814072076006,-2.4300211359163
188,TS3105,Z GERMANY OBERHAUSEN R,CENTRO OBERHAUSEN,DE,Centroallee 118/119,46047,3505,8900,"TM8667,TS3105",51.4871832,6.8816809
189,TS3112,BRACKNELL,BRACKNELL,ENG,1 Braccan Walk,RG12 1BE,1019,4135,"TM8712,TS3112",51.4160308108112,-0.749510184311833
190,TS3129,Z GERMANY BERLIN R,BERLIN KAUFHOF,DE,Galeria Kaufhof,10178,3508,9759,"TM8721,TS3129",52.5223795727499,13.4092295106465
192,TS3161,Z GERMANY MUNCHEN R,MUNICH KAUFHOF,DE,Galeria Kaufhof Munchen,80331,3509,9382,"TM8740,TS3161",48.13574595,11.5735127370356
193,TS3177,Z HOLLAND DEN HAAG R,DEN HAAG,NL,Den Haag,2511BG,3511,6792,"TM8862,TS3177",52.0758411392857,4.30891749464286
194,TS3178,Z HOLLAND ROTTERDAM R,ROTTERDAM,NL,Rotterdam,3011PM,3510,6530,"TM8744,TS3178",51.9205603355263,4.48330226842105
195,TS3180,LINCOLN,LINCOLN,ENG,Unit Ru2,LN2 1AP,1040,4490,"TM8749,TS3180",53.228607,-0.5408199
196,TS3190,Z AUSTRALIA SYDNEY R,BONDI JUNCTION SYDNEY,AU,500 Oxford Street,NSW 2022,3400,8923,"TM8762,TS3190",-33.892378825,151.2506208
197,TS3191,Z AUSTRALIA MELBOURNE R,EMPORIUM,AU,Emporium Shopping Centre,3000 VIC,3402,13277,"TM8763,TS3191",-37.81423,144.963151248438
198,TS3194,Z AUSTRALIA SYDNEY R,GOWINGS,AU,Gowings Building,2000 NSW,3403,10241,"TM8761,TS3194",-33.8708259,151.205152
199,TS3242,Z GERMANY DUSSELDORF R,DUSSELDORF KAUFHAUF,DE,Galeria Kaufhof,40212,,11174,"TM8777,TS3242",51.2236819,6.78110344186676
200,TS3274,Z GERMANY COLOGNE R,COLOGNE KAUFHOF,DE,Hohe Straße 41-53,50667,,10113,"TM8803,TS3274",50.9398087,6.95475109098173
201,TS3287,Z GERMANY BONN R,BONN KAUFHOF,DE,Remigiusstraße 20-24,53111,,5430,"TM8804,TS3287",50.7391361259803,7.09724047073458
202,TS6000,Z USA NEW YORK,NEW YORK (BROADWAY),US,478 Broadway,10013,3000,19800,"TM7000,TS6000",40.7192292699307,-74.0028507187478
203,TS6080,Z USA NEW YORK,NEW YORK (FIFTH AVENUE),US,608 Fifth Avenue,NY10020,2996,23115,"TM8586,TS6080",42.7976632,-73.9527343
